Sample,Species,SRA,Latitude,Longitude,Average.Depth,Sampling.Locale,K3,K14
GH10,D. melanogaster,ERX650259,5.55,-0.2,43.3,West,AFR2,West-anc3
GH11,D. melanogaster,ERX650261,5.55,-0.2,43.8,West,AFR2,West-anc3
GH12,D. melanogaster,ERX650263,5.55,-0.2,44.1,West,AFR2,West-anc3
GH14,D. melanogaster,ERX650265,5.55,-0.2,44,West,AFR2,West-anc3
GH15,D. melanogaster,ERX650267,5.55,-0.2,43.3,West,AFR2,West-anc3
GH16,D. melanogaster,ERR706011,5.55,-0.2,44.2,West,AFR2,West-anc3
GH17,D. melanogaster,ERR706012,5.55,-0.2,44.2,West,AFR2,West-anc3
GH18,D. melanogaster,ERR706013,5.55,-0.2,44,West,AFR2,West-anc3
GTE12,D. melanogaster,SRX891960,23.31,-75.47,8.3,OOA,OOA,OOA_1-anc10
GTE9,D. melanogaster,SRX891961,23.31,-75.47,7.3,OOA,OOA,OOA_1-anc10
GU10,D. melanogaster,SRR189114,10.7,-12.25,32.8,West,AFR2,West-anc3
GU2,D. melanogaster,SRR189117,10.7,-12.25,32,West,AFR2,West-anc3
GU6,D. melanogaster,SRR189120,10.7,-12.25,32.7,West,AFR2,West-anc3
GU7,D. melanogaster,SRR189121,10.7,-12.25,32.6,West,AFR2,West-anc3
GU9,D. melanogaster,SRR189122,10.7,-12.25,31,West,AFR2,West-anc3
HAI25,D. melanogaster,SRX891988,18.32,-72.2,8.6,OOA,OOA,OOA_1-anc10
HAI29,D. melanogaster,SRX892005,18.32,-72.2,5,OOA,OOA,OOA_1-anc10
I04,D. melanogaster,SRX766098,42.444,-76.5019,9.7,OOA,OOA,OOA_1-anc10
I06,D. melanogaster,SRX766099,42.444,-76.5019,10.5,OOA,OOA,OOA_1-anc10
I07,D. melanogaster,SRX766101,42.444,-76.5019,12,OOA,OOA,OOA_1-anc10
I13,D. melanogaster,SRR1663548,42.444,-76.5019,13.6,OOA,OOA,OOA_1-anc10
I16,D. melanogaster,SRX766103,42.444,-76.5019,9.9,OOA,OOA,OOA_1-anc10
I17,D. melanogaster,SRR1663550,42.444,-76.5019,14.2,OOA,OOA,OOA_1-anc10
I23,D. melanogaster,SRR1663552,42.444,-76.5019,13.8,OOA,OOA,OOA_1-anc10
I26,D. melanogaster,SRX766108,42.444,-76.5019,10.4,OOA,OOA,OOA_1-anc10
I31,D. melanogaster,SRX766110,42.444,-76.5019,10.6,OOA,OOA,OOA_1-anc10
I34,D. melanogaster,SRX766112,42.444,-76.5019,10.3,OOA,OOA,OOA_1-anc10
I35,D. melanogaster,SRX766114,42.444,-76.5019,10.7,OOA,OOA,OOA_1-anc10
I38,D. melanogaster,SRX766115,42.444,-76.5019,12.3,OOA,OOA,OOA_1-anc10
KN34,D. melanogaster,SRR189243,0.04,36.36,25.6,East,OOA,OOA_minor_1-anc11
KN35,D. melanogaster,SRR189245,0.04,36.36,30.3,East,NA,South_2-anc2
KO10-1-3,D. melanogaster,SRR189250,-0.25,35.73,10.9,East,OOA,OOA_minor_1-anc11
KO2-1-3,D. melanogaster,SRR189251,-0.25,35.73,18.8,East,OOA,OOA_minor_1-anc11
KO6-1-3,D. melanogaster,SRR189252,-0.25,35.73,20,East,OOA,OOA_minor_1-anc11
KR42,D. melanogaster,SRR189255,0.47,35.98,27.9,East,NA,South_2-anc2
LA34,D. melanogaster,SRR21845951,-9.767,30.8958,60,South,AFR1,HD-anc1
LIV-1_L87,D. melanogaster,SRR21846036,-16.2504739,28.49884819,45.3,South,AFR1,South_1-anc13
LIV2_L85,D. melanogaster,SRR21846035,-16.2504739,28.49884819,50.8,South,AFR1,South_1-anc13
LIV4,D. melanogaster,SRR21846034,-16.2504739,28.49884819,54.2,South,AFR1,South_1-anc13
LIV4_L78,D. melanogaster,SRR21846032,-16.2504739,28.49884819,50.6,South,AFR1,South_1-anc13
