Sample,Species,SRA,Latitude,Longitude,Average.Depth,Sampling.Locale,K3,K14
ALB39,D. melanogaster,SRX891940,33.27,-86.47,9.1,OOA,OOA,OOA_1-anc10
ALS17,D. melanogaster,SRX891929,33.289,-86.489,1.3,OOA,OOA,OOA_1-anc10
Ark,D. melanogaster,SRR21846154,35.201,-91.8318,12,OOA,OOA,OOA_1-anc10
B04,D. melanogaster,SRR1662283,39.9042,116.4074,12.2,OOA,OOA,Beijing-anc14
B05,D. melanogaster,SRX765991,39.9042,116.4074,11.9,OOA,OOA,Beijing-anc14
B10,D. melanogaster,SRR1663529,39.9042,116.4074,11.9,OOA,OOA,Beijing-anc14
B11,D. melanogaster,SRX765993,39.9042,116.4074,11.4,OOA,OOA,Beijing-anc14
B12,D. melanogaster,SRR1663531,39.9042,116.4074,12.6,OOA,OOA,Beijing-anc14
B14,D. melanogaster,SRX766070,39.9042,116.4074,11.5,OOA,OOA,Beijing-anc14
B23,D. melanogaster,SRX766071,39.9042,116.4074,10.5,OOA,OOA,Beijing-anc14
B28,D. melanogaster,SRX766074,39.9042,116.4074,11.4,OOA,OOA,Beijing-anc14
B38,D. melanogaster,SRX766072,39.9042,116.4074,11.7,OOA,OOA,Beijing-anc14
B42,D. melanogaster,SRX766073,39.9042,116.4074,11.3,OOA,OOA,Beijing-anc14
B43,D. melanogaster,SRX766075,39.9042,116.4074,11.1,OOA,OOA,Beijing-anc14
B51,D. melanogaster,SRX766076,39.9042,116.4074,10.8,OOA,OOA,Beijing-anc14
B52,D. melanogaster,SRX766077,39.9042,116.4074,11.7,OOA,OOA,Beijing-anc14
B54,D. melanogaster,SRR1663540,39.9042,116.4074,12.2,OOA,OOA,Beijing-anc14
B59,D. melanogaster,SRX766079,39.9042,116.4074,10.5,OOA,OOA,Beijing-anc14
BEI10,D. melanogaster,SRX891967,25.45,-77.51,9.9,OOA,OOA,OOA_1-anc10
BEI23,D. melanogaster,SRX891968,25.45,-77.51,18,OOA,OOA,OOA_1-anc10
BHW11,D. melanogaster,SRX891954,26.3,-77.51,11.7,OOA,OOA,OOA_1-anc10
BHW16,D. melanogaster,SRX891959,26.3,-77.51,9.1,OOA,OOA,OOA_1-anc10
CK1,D. melanogaster,SRR189038,0.51,25.19,33.6,West,AFR2,East-anc4
CK2,D. melanogaster,SRR189040,0.51,25.19,34.6,West,OOA,OOA_minor_1-anc11
CO10N,D. melanogaster,SRR189044,6.25,10.43,24.9,West,AFR2,West-anc3
CO13N,D. melanogaster,SRR189045,6.25,10.43,32.7,West,AFR2,West-anc3
CO14,D. melanogaster,SRR189046,6.25,10.43,24.6,West,AFR2,West-anc3
CO15N,D. melanogaster,SRR189047,6.25,10.43,36.2,West,AFR2,West-anc3
CO16,D. melanogaster,SRR189048,6.25,10.43,25.3,West,AFR2,West-anc3
CO1,D. melanogaster,SRR189041,6.25,10.43,30.2,West,AFR2,West-anc3
CO2,D. melanogaster,SRX058155,6.25,10.43,33.3,West,AFR2,West-anc3
CO8N,D. melanogaster,SRX058158,6.25,10.43,30.6,West,AFR2,West-anc3
CO9N,D. melanogaster,SRX058159,6.25,10.43,32.1,West,AFR2,West-anc3
RAL801,D. melanogaster,SRR835341,35.7596,-79.0193,40.4,OOA,OOA,OOA_1-anc10
DRM11,D. melanogaster,SRR21846153,-15.749997,29.333332,56.9,South,AFR1,South_1-anc13
DRM12,D. melanogaster,SRR21845980,-15.749997,29.333332,49.5,South,AFR1,South_1-anc13
DRM13,D. melanogaster,SRR21845937,-15.749997,29.333332,78.8,South,AFR1,South_1-anc13
DRM14,D. melanogaster,SRR21845926,-15.749997,29.333332,55.4,South,AFR1,South_1-anc13
DRM15,D. melanogaster,SRR21845971,-15.749997,29.333332,53.2,South,AFR1,South_1-anc13
DRM17,D. melanogaster,SRR21845960,-15.749997,29.333332,54.1,South,AFR1,South_1-anc13
DRM19,D. melanogaster,SRR21846038,-15.749997,29.333332,44.7,South,AFR1,South_1-anc13
DRM19lzvBMI,D. melanogaster,SRR21846027,-15.749997,29.333332,88.6,South,AFR1,South_1-anc13
DRM1,D. melanogaster,SRR21846016,-15.749997,29.333332,65.7,South,AFR1,South_1-anc13
DRM20,D. melanogaster,SRR21846152,-15.749997,29.333332,65.9,South,AFR1,South_1-anc13
DRM21,D. melanogaster,SRR21846141,-15.749997,29.333332,39.1,South,AFR1,South_1-anc13
DRM21lzvLM3,D. melanogaster,SRR21846130,-15.749997,29.333332,74.9,South,AFR1,South_1-anc13
DRM23,D. melanogaster,SRR21846062,-15.749997,29.333332,42.5,South,AFR1,South_1-anc13
DRM25,D. melanogaster,SRR21846051,-15.749997,29.333332,40.2,South,AFR1,South_1-anc13
DRM26,D. melanogaster,SRR21846040,-15.749997,29.333332,52.4,South,AFR1,South_1-anc13
DRM27,D. melanogaster,SRR21846114,-15.749997,29.333332,52.3,South,AFR1,South_1-anc13
DRM29,D. melanogaster,SRR21846103,-15.749997,29.333332,52.1,South,AFR1,South_1-anc13
DRM33,D. melanogaster,SRR21846002,-15.749997,29.333332,54.8,South,AFR1,South_1-anc13
DRM36,D. melanogaster,SRR21845991,-15.749997,29.333332,48.3,South,AFR1,South_1-anc13
DRM37,D. melanogaster,SRR21845979,-15.749997,29.333332,38.3,South,AFR1,South_1-anc13
DRM38,D. melanogaster,SRR21846086,-15.749997,29.333332,37.5,South,AFR1,South_1-anc13
DRM39,D. melanogaster,SRR21846075,-15.749997,29.333332,42.3,South,AFR1,South_1-anc13
DRM42,D. melanogaster,SRR21845947,-15.749997,29.333332,36,South,AFR1,South_1-anc13
DRM43,D. melanogaster,SRR21845943,-15.749997,29.333332,56,South,AFR1,South_1-anc13
DRM44,D. melanogaster,SRR21845942,-15.749997,29.333332,38.3,South,AFR1,South_1-anc13
DRM46,D. melanogaster,SRR21845941,-15.749997,29.333332,51.4,South,AFR1,South_1-anc13
DRM4,D. melanogaster,SRR21845940,-15.749997,29.333332,55.8,South,AFR1,South_1-anc13
DRM50,D. melanogaster,SRR21845939,-15.749997,29.333332,42,South,AFR1,South_1-anc13
DRM51,D. melanogaster,SRR21845938,-15.749997,29.333332,51.9,South,AFR1,South_1-anc13
DRM57,D. melanogaster,SRR21845936,-15.749997,29.333332,39.7,South,AFR1,South_1-anc13
DRM58,D. melanogaster,SRR21845935,-15.749997,29.333332,39.5,South,AFR1,South_1-anc13
DRM59,D. melanogaster,SRR21845934,-15.749997,29.333332,40.4,South,AFR1,South_1-anc13
DRM60,D. melanogaster,SRR21845933,-15.749997,29.333332,44.6,South,AFR1,South_1-anc13
DRM61,D. melanogaster,SRR21845932,-16.2504739,28.49884819,44.5,South,AFR1,South_1-anc13
DRM63,D. melanogaster,SRR21845931,-16.2504739,28.49884819,43.8,South,AFR1,South_1-anc13
DRM67,D. melanogaster,SRR21845930,-15.749997,29.333332,45.5,South,AFR1,South_1-anc13
DRM67_LZV-BM,D. melanogaster,SRR21845929,-15.749997,29.333332,145.9,South,AFR1,South_1-anc13
DRM68,D. melanogaster,SRR21845928,-15.749997,29.333332,52.3,South,AFR1,South_1-anc13
DRM68lzvBM2,D. melanogaster,SRR21845927,-15.749997,29.333332,75.3,South,AFR1,South_1-anc13
DRM69,D. melanogaster,SRR21845925,-15.749997,29.333332,46.7,South,AFR1,South_1-anc13
DRM6,D. melanogaster,SRR21845924,-15.749997,29.333332,48.4,South,AFR1,South_1-anc13
DRM70,D. melanogaster,SRR21845923,-15.749997,29.333332,42.4,South,AFR1,South_1-anc13
DRM71,D. melanogaster,SRR21845922,-16.2504739,28.49884819,45.9,South,AFR1,South_1-anc13
DRM71_LIVE,D. melanogaster,SRR21845978,-16.2504739,28.49884819,66.9,South,AFR1,South_1-anc13
DRM73,D. melanogaster,SRR21845975,-15.749997,29.333332,45.9,South,AFR1,South_1-anc13
DRM74,D. melanogaster,SRR21845974,-16.2504739,28.49884819,52.5,South,AFR1,South_1-anc13
DRM75,D. melanogaster,SRR21845973,-16.2504739,28.49884819,58.1,South,AFR1,South_1-anc13
DRM76,D. melanogaster,SRR21845972,-15.749997,29.333332,46.8,South,AFR1,South_1-anc13
DRM78,D. melanogaster,SRR21845970,-15.749997,29.333332,58.7,South,AFR1,South_1-anc13
DRM78_LZV-BM,D. melanogaster,SRR21845969,-15.749997,29.333332,71.5,South,AFR1,South_1-anc13
DRM7,D. melanogaster,SRR21845968,-15.749997,29.333332,55.9,South,AFR1,South_1-anc13
DRM81,D. melanogaster,SRR21845967,-16.2504739,28.49884819,52.8,South,AFR1,South_1-anc13
DRM82,D. melanogaster,SRR21845966,-15.749997,29.333332,45.5,South,AFR1,South_1-anc13
DRM83,D. melanogaster,SRR21845965,-16.2504739,28.49884819,52,South,AFR1,South_1-anc13
DRM84,D. melanogaster,SRR21845964,-16.2504739,28.49884819,50.9,South,AFR1,South_1-anc13
DRM85,D. melanogaster,SRR21845963,-15.749997,29.333332,42.1,South,AFR1,South_1-anc13
DRM8,D. melanogaster,SRR21845962,-15.749997,29.333332,54.2,South,AFR1,South_1-anc13
DRM90,D. melanogaster,SRR21845961,-16.2504739,28.49884819,40.4,South,AFR1,South_1-anc13
DRM92,D. melanogaster,SRR21845959,-15.749997,29.333332,53.6,South,AFR1,South_1-anc13
DRM93,D. melanogaster,SRR21845958,-15.749997,29.333332,52.9,South,AFR1,South_1-anc13
DRM94,D. melanogaster,SRR21845957,-16.2504739,28.49884819,44.5,South,AFR1,South_1-anc13
DRM95,D. melanogaster,SRR21845956,-16.2504739,28.49884819,127.5,South,AFR1,South_1-anc13
DRM96,D. melanogaster,SRR21845955,-16.2504739,28.49884819,55.2,South,AFR1,South_1-anc13
DRM98,D. melanogaster,SRR21845954,-15.749997,29.333332,47.2,South,AFR1,South_1-anc13
DRM99,D. melanogaster,SRR21845953,-15.749997,29.333332,41.1,South,AFR1,South_1-anc13
DRM9,D. melanogaster,SRR21845952,-15.749997,29.333332,49.1,South,AFR1,South_1-anc13
EA117N,D. melanogaster,SRR3734063,8.25,34.59,12.8,ET,AFR2,OOA_minor_1-anc11
EA119,D. melanogaster,SRR1686794,8.25,34.59,22,ET,AFR2,Ethiopia-anc7
EA124N,D. melanogaster,SRR3734064,8.25,34.59,27.9,ET,AFR2,OOA_minor_1-anc11
EA126N,D. melanogaster,SRR3734286,8.25,34.59,15.6,ET,AFR2,Ethiopia-anc7
EA22N,D. melanogaster,SRR3734322,8.25,34.59,18.1,ET,AFR2,OOA_minor_1-anc11
EA2N,D. melanogaster,SRR3734334,8.25,34.59,31.5,ET,AFR2,Ethiopia-anc7
EA30N,D. melanogaster,SRR3734345,8.25,34.59,29.8,ET,AFR2,Ethiopia-anc7
EA3,D. melanogaster,SRR1686796,8.25,34.59,13.6,ET,OOA,OOA_minor_1-anc11
EA49,D. melanogaster,SRR1686797,8.25,34.59,17.2,ET,AFR2,Ethiopia-anc7
EA58N,D. melanogaster,SRR3734073,8.25,34.59,18.7,ET,OOA,OOA_minor_2-anc12
EA59N,D. melanogaster,SRR3734074,8.25,34.59,11.1,ET,OOA,OOA_minor_2-anc12
EA70N,D. melanogaster,SRR3734075,8.25,34.59,17.6,ET,AFR2,OOA_minor_1-anc11
EA84N,D. melanogaster,SRR3734076,8.25,34.59,13.4,ET,OOA,OOA_minor_2-anc12
EA93N,D. melanogaster,SRR3734081,8.25,34.59,21.8,ET,OOA,OOA_minor_3-anc6
EB132,D. melanogaster,SRR1686969,7.26,36.25,14.8,ET,AFR2,Ethiopia-anc7
EB148,D. melanogaster,SRR1686971,7.26,36.25,26,ET,AFR2,Ethiopia-anc7
EB18,D. melanogaster,SRR1687447,7.26,36.25,21.2,ET,AFR2,Ethiopia-anc7
EB237,D. melanogaster,SRR1687453,7.26,36.25,15.8,ET,AFR2,Ethiopia-anc7
EB25,D. melanogaster,SRR1687462,7.26,36.25,17.1,ET,AFR2,Ethiopia-anc7
ED10N,D. melanogaster,SRX058161,6.98,39.18,32.5,ET,AFR2,Ethiopia-anc7
ED2,D. melanogaster,SRX058163,6.98,39.18,27.1,ET,AFR2,Ethiopia-anc7
ED3,D. melanogaster,SRX058164,6.98,39.18,26.4,ET,AFR2,Ethiopia-anc7
ED6N,D. melanogaster,SRX058174,6.98,39.18,31,ET,AFR2,Ethiopia-anc7
EF101N,D. melanogaster,SRR3734175,9.81,38.63,18.6,ET,AFR2,Ethiopia-anc7
EF102N,D. melanogaster,SRR3734186,9.81,38.63,12,ET,AFR2,Ethiopia-anc7
EF103N,D. melanogaster,SRR3734197,9.81,38.63,17.3,ET,AFR2,Ethiopia-anc7
EF108N,D. melanogaster,SRR3734208,9.81,38.63,29.5,ET,AFR2,Ethiopia-anc7
EF10N,D. melanogaster,SRR3734219,9.81,38.63,33,ET,AFR2,Ethiopia-anc7
EF110N,D. melanogaster,SRR3734230,9.81,38.63,23.1,ET,AFR2,Ethiopia-anc7
EF112N,D. melanogaster,SRR3734241,9.81,38.63,24.8,ET,AFR2,Ethiopia-anc7
EF114N,D. melanogaster,SRR3734252,9.81,38.63,13.1,ET,AFR2,Ethiopia-anc7
EF115N,D. melanogaster,SRR3734090,9.81,38.63,21.6,ET,OOA,OOA_2-anc5
EF116N,D. melanogaster,SRR3734091,9.81,38.63,12.7,ET,OOA,OOA_2-anc5
EF117N,D. melanogaster,SRR3734092,9.81,38.63,13.5,ET,OOA,OOA_2-anc5
EF119N,D. melanogaster,SRR3734093,9.81,38.63,17.7,ET,OOA,OOA_2-anc5
EF11N,D. melanogaster,SRR3734094,9.81,38.63,11.9,ET,OOA,OOA_2-anc5
EF120,D. melanogaster,SRR1687511,9.81,38.63,13.8,ET,AFR2,Ethiopia-anc7
EF122N,D. melanogaster,SRR3734096,9.81,38.63,14.4,ET,OOA,OOA_2-anc5
EF126N,D. melanogaster,SRR3734097,9.81,38.63,41.1,ET,AFR2,Ethiopia-anc7
